mean_errors,std_errors,timesteps
0.7529705166816711,0.06571639329195023,1
0.611499011516571,0.10288073867559433,2
0.47055381536483765,0.14696840941905975,3
0.3484266400337219,0.18382862210273743,4
0.2712027132511139,0.213409423828125,5
0.23767806589603424,0.24478521943092346,6
0.25112906098365784,0.28339695930480957,7
0.27759477496147156,0.3267380893230438,8
0.31463494896888733,0.3752153813838959,9
0.35806432366371155,0.4264453947544098,10
0.41081058979034424,0.4831676781177521,11
0.47132837772369385,0.5423004627227783,12
0.5410053133964539,0.6057968735694885,13
0.619406521320343,0.6721615791320801,14
0.7072318196296692,0.7435612678527832,15
0.8045735955238342,0.8183267116546631,16
0.9128232002258301,0.8982445597648621,17
1.0328625440597534,0.9823819398880005,18
1.1641747951507568,1.0713412761688232,19
1.3064254522323608,1.162907600402832,20
1.4599958658218384,1.2575410604476929,21
1.627172827720642,1.3564826250076294,22
1.8065242767333984,1.459479808807373,23
1.9969388246536255,1.5646907091140747,24
2.1975464820861816,1.6737520694732666,25
2.4093122482299805,1.7868660688400269,26
2.6306464672088623,1.9067424535751343,27
2.8616366386413574,2.031771659851074,28
3.102027654647827,2.163501501083374,29
3.354228973388672,2.3009626865386963,30
3.6148693561553955,2.447234630584717,31
3.88588809967041,2.599827766418457,32
4.166154384613037,2.7602267265319824,33
4.459479808807373,2.927452802658081,34
4.764021873474121,3.1059112548828125,35
5.082146167755127,3.2904491424560547,36
5.411011219024658,3.4853968620300293,37
5.752671241760254,3.6874496936798096,38
6.10317850112915,3.8992691040039062,39
6.467746257781982,4.117354393005371,40
6.843876361846924,4.346689701080322,41
7.234975337982178,4.584655284881592,42
7.637410640716553,4.833309173583984,43
8.056761741638184,5.088253021240234,44
8.488080978393555,5.352236747741699,45
8.935513496398926,5.621544361114502,46
9.393401145935059,5.900088787078857,47
9.866571426391602,6.184693813323975,48
10.349738121032715,6.480459690093994,49
10.846978187561035,6.780727863311768,50
11.355829238891602,7.087908744812012,51
11.879812240600586,7.398293972015381,52
12.41364574432373,7.716958045959473,53
12.961277961730957,8.040840148925781,54
13.517476081848145,8.37339973449707,55
14.086532592773438,8.70812702178955,56
14.663352012634277,9.048384666442871,57
15.249876976013184,9.393181800842285,58
15.842232704162598,9.749852180480957,59
16.447952270507812,10.11075210571289,60
