mean_errors,std_errors,timesteps
0.41366714239120483,0.25080084800720215,1
0.39201074838638306,0.14719760417938232,2
0.6368155479431152,0.3415208160877228,3
0.45656710863113403,0.28609830141067505,4
0.6983945965766907,0.42058518528938293,5
0.5861063003540039,0.4306630790233612,6
0.8186080455780029,0.5457087755203247,7
0.754051923751831,0.5821877717971802,8
0.9432951807975769,0.6814607381820679,9
0.9698378443717957,0.7429987192153931,10
1.1277010440826416,0.8419098854064941,11
1.2375856637954712,0.9101870656013489,12
1.3729504346847534,1.0107593536376953,13
1.5450541973114014,1.0857166051864624,14
1.6807941198349,1.1882840394973755,15
1.8936635255813599,1.2751331329345703,16
2.024528980255127,1.3848034143447876,17
2.259434461593628,1.4877820014953613,18
2.395433187484741,1.602566123008728,19
2.6552321910858154,1.7180991172790527,20
2.800557851791382,1.8368847370147705,21
3.0850887298583984,1.9634455442428589,22
3.241490364074707,2.0858042240142822,23
3.5535380840301514,2.221541404724121,24
3.7236168384552,2.3465628623962402,25
4.065493106842041,2.4906554222106934,26
4.249835968017578,2.6178908348083496,27
4.62150239944458,2.769810438156128,28
4.818997859954834,2.900017261505127,29
5.218935966491699,3.0596506595611572,30
5.428683757781982,3.193833827972412,31
5.855598449707031,3.361208438873291,32
6.07781457901001,3.5000052452087402,33
6.531256198883057,3.674858570098877,34
6.767231464385986,3.819317102432251,35
7.24784517288208,4.001379013061523,36
7.4999284744262695,4.152065753936768,37
8.008687973022461,4.340734004974365,38
8.279572486877441,4.498038291931152,39
8.816990852355957,4.692783355712891,40
9.109541893005371,4.8570637702941895,41
9.675305366516113,5.057537078857422,42
9.99215030670166,5.22950553894043,43
10.585953712463379,5.435739040374756,44
10.929165840148926,5.615501403808594,45
11.54998779296875,5.827533721923828,46
11.922656059265137,6.015659332275391,47
12.569840431213379,6.233554840087891,48
12.974079132080078,6.430501937866211,49
13.646918296813965,6.654812335968018,50
14.084263801574707,6.861889839172363,51
14.7815580368042,7.094590663909912,52
15.253547668457031,7.314059257507324,53
15.974772453308105,7.556833267211914,54
16.48258399963379,7.790899753570557,55
17.226463317871094,8.044351577758789,56
17.771448135375977,8.29376220703125,57
18.53712272644043,8.557916641235352,58
19.11998176574707,8.82209587097168,59
19.906808853149414,9.096813201904297,60
